,Artist_Name,Track_Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,time_signature,Genre,duration_in_min
0,Bruno Mars,That's What I Like (feat. Gucci Mane),60.0,0.854,0.564,-4.964,1,0.0485,0.0171,0.0849,0.899,134.071,4.0,5.0,3.9099333333333335
1,Boston,Hitch a Ride,54.0,0.382,0.814,-7.23,1,0.0406,0.0011,0.101,0.569,116.454,4.0,10.0,4.19555
2,The Raincoats,No Side to Fall In,35.0,0.434,0.614,-8.334,1,0.0525,0.486,0.394,0.787,147.681,4.0,6.0,1.8277833333333333
3,Deno,Lingo (feat. J.I & Chunkz),66.0,0.853,0.597,-6.528,0,0.0555,0.0212,0.122,0.569,107.033,4.0,5.0,2.8994666666666666
4,Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53.0,0.167,0.975,-4.279,1,0.216,0.000169,0.172,0.0918,199.06,4.0,10.0,3.832666666666667
5,The Stooges,Search and Destroy - Iggy Pop Mix,53.0,0.235,0.977,0.878,1,0.107,0.00353,0.172,0.241,152.952,4.0,6.0,3.4688833333333333
6,Solomon Burke,None Of Us Are Free,48.0,0.674,0.658,-9.647,0,0.104,0.404,0.0981,0.677,143.292,4.0,2.0,5.4897833333333335
7,Randy Travis,On the Other Hand,55.0,0.657,0.415,-9.915,1,0.025,0.175,0.132,0.347,96.03,4.0,4.0,3.105783333
8,Professional Murder Music,Slow,29.0,0.431,0.776,-5.403,1,0.0527,2.21e-05,0.179,0.318,120.857,4.0,8.0,3.96445
9,Mohammed Rafi,Meri Dosti Mera Pyar,11.0,0.491,0.563,-8.588,0,0.0331,0.957,0.263,0.843,95.558,4.0,3.0,4.33045
10,Arctic Monkeys,The View From The Afternoon,59.0,0.387,0.922,-5.192,0,0.0674,0.00487,0.187,0.417,146.478,4.0,10.0,3.7157833333333334
11,"Harald Lassen, Bram de Looze",How it feels pt. 2,34.0,0.462,0.374,-12.069,0,0.0331,0.949,0.131,0.174,122.939,3.0,7.0,4.44025
12,Buffalo Springfield,For What It's Worth,76.0,0.653,0.519,-10.164,1,0.0497,0.406,0.101,0.822,98.883,4.0,10.0,2.56155
13,Elmore James,Madison Blues,37.0,0.431,0.852,-6.522,1,0.0431,0.564,0.254,0.794,67.601,4.0,2.0,2.4466666666666668
14,Velvet Two Stripes,Drinks,31.0,0.564,0.801,-4.73,0,0.0473,0.00233,0.067,0.401,105.01,4.0,10.0,2.57155
15,DaBaby,Baby Sitter (feat. Offset),70.0,0.852,0.73,-5.803,1,0.0579,0.0219,0.336,0.394,92.506,4.0,5.0,2.628216666666667
16,Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),48.0,0.347,0.411,-8.071,1,0.0414,0.0181,0.0975,0.395,171.991,4.0,6.0,4.7168833333333335
17,Clairmont The Second,intres-ting,44.0,0.796,0.441,-9.83,1,0.292,0.16,0.118,0.371,158.105,4.0,1.0,2.2978666666666667
18,Krankhead,Cut Throat,29.0,0.805,0.448,-9.452,1,0.112,0.0602,0.113,0.775,160.018,4.0,5.0,2.3
19,The Stone Roses,Driving South,44.0,0.472,0.947,-6.128,1,0.0774,9.43e-06,0.364,0.75,98.784,4.0,10.0,5.16445
20,R3HAB,Whiplash - Acoustic,44.0,0.556,0.188,-12.161,1,0.0316,0.494,0.119,0.184,138.091,4.0,9.0,2.4202833333333333
22,MC Hammer,U Can't Touch This,73.0,0.867,0.517,-13.222,0,0.0875,0.00456,0.0864,0.866,133.148,4.0,9.0,4.289333333333333
23,duendita,Open Eyes,35.0,0.341,0.47,-10.144,1,0.037,0.226,0.518,0.203,144.109,4.0,1.0,3.4046666666666665
24,Rainbow,Since You Been Gone,66.0,0.733,0.726,-6.514,1,0.0371,0.379,0.471,0.915,120.814,4.0,8.0,3.286
25,fijitrip,Private Social Network,30.0,0.696,0.661,-5.996,1,0.0877,0.00103,0.114,0.397,121.032,4.0,6.0,3.0137
26,Machine Gun Kelly,love race (feat. Kellin Quinn),81.0,0.517,0.848,-4.054,1,0.0521,0.00581,0.214,0.429,95.906,4.0,9.0,3.146316666666667
27,ShittyCT,Mahapecha Shel Simcha,4.0,0.437,0.948,-4.287,0,0.092,0.000234,0.0876,0.517,170.023,4.0,6.0,3.0048833333333334
28,Tetrarch,Negative Noise,49.0,0.384,0.974,-3.647,0,0.141,0.000153,0.226,0.155,194.842,4.0,8.0,4.122833333333333
29,Dreezy,Where Them $ @,42.0,0.858,0.525,-7.332,1,0.148,0.0443,0.197,0.351,170.875,4.0,5.0,3.2327
30,The Ayoub Sisters,Mother's Pride,16.0,0.297,0.0958,-20.316,1,0.0384,0.844,0.126,0.296,80.672,4.0,7.0,3.503783333
31,Brandon Jack & The Artifacts,four days,29.0,0.516,0.948,-3.994,1,0.0644,0.0279,0.15,0.957,170.087,4.0,1.0,2.17215
32,Moon Guitar,Struna,47.0,0.32,0.242,-15.17,1,0.0422,0.941,0.165,0.431,81.09,4.0,7.0,2.817633333
33,Kvelertak,Crack of Doom (feat. Troy Sanders),44.0,0.357,0.977,-6.489,0,0.124,1.6e-05,0.105,0.28,159.81,4.0,8.0,3.898816666666667
34,Better Than Ezra,Good,63.0,0.615,0.657,-6.873,1,0.029,0.000372,0.132,0.792,109.95,4.0,10.0,3.0848833333333334
35,Silversun Pickups,Lazy Eye,65.0,0.633,0.831,-5.053,1,0.0461,0.0401,0.117,0.243,127.397,4.0,10.0,5.906
37,Orange Juice,Rip It Up,55.0,0.881,0.546,-9.357,1,0.0407,0.0532,0.0497,0.852,102.814,4.0,6.0,5.340216666666667
38,U2,The Blackout,49.0,0.624,0.528,-9.103,0,0.0344,0.0286,0.0866,0.33,120.049,4.0,10.0,4.76555
39,The Clash,The Magnificent Seven - Remastered,56.0,0.799,0.789,-8.208,1,0.0395,0.0595,0.0338,0.831,116.083,4.0,10.0,5.558666666666666
40,Victor Manu,Raphaela,47.0,0.494,0.0634,-19.203,1,0.044,0.984,0.11,0.15,78.227,4.0,7.0,3.014916667
41,The Last Shadow Puppets,Bad Habits,49.0,0.52,0.642,-7.546,1,0.0434,0.000517,0.0794,0.449,88.967,4.0,10.0,3.0161333333333333
42,Anne-Marie,Our Song,48.0,0.595,0.759,-4.245,0,0.0423,0.141,0.172,0.515,80.953,4.0,9.0,2.7288833333333335
44,Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",28.0,0.566,0.943,-10.359,1,0.123,0.00488,0.728,0.324,117.813,4.0,10.0,6.717116666666667
45,Veruca Salt,Seether,47.0,0.612,0.86,-9.175,1,0.044,0.00253,0.158,0.687,136.212,4.0,1.0,3.27445
46,Juice WRLD,Life's A Mess (feat. Halsey),77.0,0.63,0.446,-8.9,1,0.0351,0.337,0.166,0.177,143.078,4.0,5.0,3.369883333333333
47,BENEE,C U,53.0,0.521,0.532,-11.492,0,0.0357,0.563,0.386,0.326,95.19,4.0,9.0,3.0088833333333334
48,Ganser,Self Service - Adam Faulkner / Girl Band Remix,9.0,0.185,0.865,-10.522,1,0.0576,0.000632,0.112,0.0789,84.031,3.0,6.0,3.45775
49,Nick Cave & The Bad Seeds,Deanna,41.0,0.415,0.94,-4.874,1,0.0889,0.0049,0.144,0.439,134.392,4.0,1.0,3.76045
50,Soen,Lotus,49.0,0.425,0.403,-9.343,0,0.0273,0.0792,0.113,0.135,155.761,4.0,10.0,5.39885
51,Vani Jairam,Bole Re Papihara,20.0,0.373,0.707,-9.566,0,0.0562,0.668,0.361,0.75,89.1,4.0,3.0,3.578883333
52,Liam Gallagher,Once,59.0,0.39,0.646,-3.961,1,0.0372,0.0904,0.114,0.271,120.755,4.0,10.0,3.5612833333333334
53,The Pretty Things,She's a Lover,38.0,0.439,0.795,-9.424,1,0.0314,0.00407,0.296,0.789,84.846,4.0,6.0,3.53445
54,Tha Dogg Pound,"New York, New York",56.0,0.827,0.532,-4.775,1,0.302,0.0219,0.127,0.694,87.257,4.0,5.0,4.8406666666666665
55,BLAB,Casual Sex,26.0,0.709,0.685,-7.573,1,0.0281,0.0355,0.0389,0.7,129.987,4.0,1.0,3.242783333333333
56,Mighty Sam McClain,When the Hurt Is Over,41.0,0.583,0.143,-15.786,1,0.148,0.676,0.117,0.533,156.009,3.0,2.0,6.1916
57,Trillary Banks,Last Man Standing,35.0,0.704,0.579,-9.331,1,0.418,0.287,0.139,0.712,142.815,4.0,5.0,2.94445
